data_criacao;id;linguagem;tweet;nome_usuario;localizacao_usuario
"Tue Nov 03 22:49:36 +0000 2020";1323759259499331586;"pt ";"RT @MarceloCecel34: INFORMAÇÃO!  🇪🇪x🇳🇬  #Gremio 🆚 Goiás   🗓️ 30/11    Segunda feira    🕕 18:00  Jogo da 6️⃣ª Rodada   #itatiaia    Fonte 🗞️  @welling…            ";"Rei do Sul          ";"Arena do Gremio               "
"Tue Nov 03 22:49:02 +0000 2020";1323759118159695873;"pt ";"RT @MarceloCecel34: INFORMAÇÃO!  🇪🇪x🇳🇬  #Gremio 🆚 Goiás   🗓️ 30/11    Segunda feira    🕕 18:00  Jogo da 6️⃣ª Rodada   #itatiaia    Fonte 🗞️  @welling…            ";"Pereirinha_Real     ";"                              "
"Tue Nov 03 22:48:12 +0000 2020";1323758907584663552;"pt ";"RT @MarceloCecel34: INFORMAÇÃO!  🇪🇪x🇳🇬  #Gremio 🆚 Goiás   🗓️ 30/11    Segunda feira    🕕 18:00  Jogo da 6️⃣ª Rodada   #itatiaia    Fonte 🗞️  @welling…            ";"Denise              ";"Paraná                       "
"Tue Nov 03 22:47:38 +0000 2020";1323758764441350152;"pt ";"RT @MarceloCecel34: INFORMAÇÃO!  🇪🇪x🇳🇬  #Gremio 🆚 Goiás   🗓️ 30/11    Segunda feira    🕕 18:00  Jogo da 6️⃣ª Rodada   #itatiaia    Fonte 🗞️  @welling…            ";"Denise              ";"Porto Alegre, Brazil          "
"Tue Nov 03 22:47:25 +0000 2020";1323758710104227840;"pt ";"INFORMAÇÃO!  🇪🇪x🇳🇬  #Gremio 🆚 Goiás   🗓️ 30/11    Segunda feira    🕕 18:00  Jogo da 6️⃣ª Rodada   #itatiaia    Fonte 🗞️… https://t.co/NOHk0Czctz                  ";"Denise              ";"Porto Alegre, Brasil          "
"Tue Nov 03 22:46:55 +0000 2020";1323758582932905985;"pt ";"RT @radiowebpopular: Na etapa final, a goleira do #Grêmio, Raíssa defendeu um pênalti cobrado por Gabi Nunes, aos 33. O #Corinthians encara…                                                       ";"Leandro Leopoldo    ";"                              "
"Tue Nov 03 22:46:45 +0000 2020";1323758541333778433;"pt ";"RT @radiowebpopular: E foi eliminado da competição nacional. As gaúchas haviam perdido a partida de ida por 3 a 0. As #GuriasGremistas saír…                                                      ";"Leandro Leopoldo    ";"                              "
"Tue Nov 03 22:46:30 +0000 2020";1323758479698481152;"pt ";"RT @RolimSkyl: Defina o perfil, profissional do jornalista, que telefona para uma freira sobre o que ela acha da declaração do Renato. SURR…                                                        ";"Leandro Leopoldo    ";"Recife/PE                     "
"Tue Nov 03 22:46:24 +0000 2020";1323758456231333889;"pt ";"RT @radiowebpopular: 🇪🇪#Grêmio | No começo da noite dessa segunda-feira (2), o #Grêmio perdeu pelo placar de 2 a 1 para o #Corinthians, na…                                                  ";"Leandro Leopoldo    ";"                              "
"Tue Nov 03 22:42:33 +0000 2020";1323757485224853505;"pt ";"Na etapa final, a goleira do #Grêmio, Raíssa defendeu um pênalti cobrado por Gabi Nunes, aos 33. O #Corinthians enc… https://t.co/mwA1JHWZb1                                                       ";"Rádio Web Popular  ";"Porto Alegre, Brasil          "
